## FlyBase FBgn-Annotation ID Correspondence Table
## Generated: Wed Apr  1 17:36:04 2020
## Using datasource: dbi:Pg:dbname=fb_2020_02_reporting;host=flysql20;port=5432...

##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
her	Dmel	FBgn0001185	FBgn0005174	CG4694	
Glyat	Dmel	FBgn0054010	FBgn0082884	CG34010	
CG12679	Dmel	FBgn0031103		CG12679	
CG42512	Dmel	FBgn0260238	FBgn0260433	CG42512	CG42528
kel	Dmel	FBgn0001301		CG7210	
CG44476	Dmel	FBgn0265669		CG44476	
jagn	Dmel	FBgn0037374		CG10978	
Rbp6	Dmel	FBgn0260943	FBgn0010260,FBgn0052169,FBgn0036699,FBgn0036700,FBgn0036701,FBgn0063045	CG32169	CG6573,CG14056,CG14055
CG15153	Dmel	FBgn0032663		CG15153	
CG42505	Dmel	FBgn0260231		CG42505	
vig2	Dmel	FBgn0046214	FBgn0039279,FBgn0062116	CG11844	
ebo	Dmel	FBgn0266572	FBgn0001337,FBgn0023538,FBgn0067912,FBgn0000540	CG3923	
Fas3	Dmel	FBgn0000636		CG5803	
Pits	Dmel	FBgn0030400	FBgn0030401,FBgn0061396,FBgn0063366	CG11138	CG1855
CG42504	Dmel	FBgn0260230		CG42504	
Dpse\thr	Dpse	FBgn0064414		GA19126	thr
nopo	Dmel	FBgn0034314		CG5140	
CG34171	Dmel	FBgn0085200		CG34171	
stg1	Dmel	FBgn0064123	FBgn0031154,FBgn0031156,FBgn0031158,FBgn0052514,FBgn0053670	CG33670	CG32514,CG11569,CG11568,CG10985
Dpse\GA19125	Dpse	FBgn0079123		GA19125	
Arpc5	Dmel	FBgn0031437		CG9881	
Reepl1	Dmel	FBgn0030313	FBgn0066828	CG11697	
grp	Dmel	FBgn0261278	FBgn0011598,FBgn0004632,FBgn0024213,FBgn0040478,FBgn0069054,FBgn0021840	CG17161	
PrBP	Dmel	FBgn0032059		CG9296	
Cyp4ac2	Dmel	FBgn0031694		CG17970	
CG30222	Dmel	FBgn0050222	FBgn0034637,FBgn0040656	CG30222	CG15672,CG12709
Wdr24	Dmel	FBgn0027518		CG7609	
Prosbeta7	Dmel	FBgn0250746	FBgn0243587,FBgn0062092,FBgn0037314	CG12000	
CG15394	Dmel	FBgn0250835	FBgn0031439,FBgn0066938	CG15394	
CG15465	Dmel	FBgn0029746		CG15465	
His1:CG33825	Dmel	FBgn0053825		CG33825	
CG9289	Dmel	FBgn0032058		CG9289	
Rpt6R	Dmel	FBgn0039788		CG2241	
His2A:CG33826	Dmel	FBgn0053826		CG33826	
His3:CG33827	Dmel	FBgn0053827		CG33827	
His1:CG33828	Dmel	FBgn0053828		CG33828	
His2A:CG33829	Dmel	FBgn0053829		CG33829	
CG15395	Dmel	FBgn0031440		CG15395	
His3:CG33830	Dmel	FBgn0053830		CG33830	
His1:CG33831	Dmel	FBgn0053831		CG33831	
Atg3	Dmel	FBgn0036813		CG6877	
His2A:CG33832	Dmel	FBgn0053832		CG33832	
Drp1	Dmel	FBgn0026479	FBgn0005566,FBgn0005579,FBgn0031438,FBgn0042649	CG3210	
His3:CG33833	Dmel	FBgn0053833		CG33833	
Wdr59	Dmel	FBgn0032339		CG4705	
CG9287	Dmel	FBgn0032057		CG9287	
CG34393	Dmel	FBgn0085422	FBgn0031509,FBgn0031508	CG34393	CG8829,CG15405
His1:CG33834	Dmel	FBgn0053834		CG33834	
mRpS22	Dmel	FBgn0039555		CG12261	
Atg4b	Dmel	FBgn0038325		CG6194	
prage	Dmel	FBgn0283741	FBgn0067662,FBgn0261548,FBgn0024988,FBgn0029591,FBgn0023543,FBgn0029592	CG42666	CG14801,CG14799,CG14800,CG17968
Dpse\GA17179	Dpse	FBgn0077193		GA17179	
Atg18a	Dmel	FBgn0035850		CG7986	
Atg18b	Dmel	FBgn0032935		CG8678	
Atg10	Dmel	FBgn0040780		CG12821	
His2A:CG33835	Dmel	FBgn0053835		CG33835	
His3:CG33836	Dmel	FBgn0053836		CG33836	
His1:CG33837	Dmel	FBgn0053837		CG33837	
His2A:CG33838	Dmel	FBgn0053838		CG33838	
His3:CG33839	Dmel	FBgn0053839		CG33839	
CG33552	Dmel	FBgn0053552		CG33552	
CG32982	Dmel	FBgn0052982	FBgn0032097,FBgn0032098,FBgn0032099	CG32982	CG9585,CG18566,CG9584
Cyt-c-d	Dmel	FBgn0086907	FBgn0000408,FBgn0011213	CG13263	
His1:CG33840	Dmel	FBgn0053840		CG33840	
His3:CG33842	Dmel	FBgn0053842		CG33842	
Akh	Dmel	FBgn0004552	FBgn0004086,FBgn0004508	CG1171	
His1:CG33843	Dmel	FBgn0053843		CG33843	
Sec61gamma	Dmel	FBgn0031049		CG14214	
His2A:CG33844	Dmel	FBgn0053844		CG33844	
His3:CG33845	Dmel	FBgn0053845		CG33845	
CG15126	Dmel	FBgn0040729		CG15126	
Obp56a	Dmel	FBgn0034468	FBgn0063005	CG11797	
Obp56c	Dmel	FBgn0046879	FBgn0034469,FBgn0050128	CG30128	CG15129
insv	Dmel	FBgn0031434	FBgn0047090	CG3227	
Obp56b	Dmel	FBgn0046880	FBgn0034469,FBgn0050129	CG30129	CG15129
CG15128	Dmel	FBgn0034467		CG15128	
anne	Dmel	FBgn0052000	FBgn0047229,FBgn0062460,FBgn0064774	CG32000	
Rnb	Dmel	FBgn0039696		CG7837	
CG34198	Dmel	FBgn0085227		CG34198	
hrg	Dmel	FBgn0015949	FBgn0022078,FBgn0034465,FBgn0040293	CG9854	
Ssu72	Dmel	FBgn0031054	FBgn0029511	CG14216	
CG17904	Dmel	FBgn0032597		CG17904	
His1:CG33846	Dmel	FBgn0053846		CG33846	
glu	Dmel	FBgn0015391	FBgn0027863,FBgn0062208	CG11397	
Spn42Db	Dmel	FBgn0033112		CG9454	
Dvir\GJ25590	Dvir	FBgn0281859		GJ25590	
hpRNA:CR32205	Dmel	FBgn0052205	FBgn0064855,FBgn0262151	CR32205	
Tmem18	Dmel	FBgn0050051	FBgn0043526	CG30051	
Bruce	Dmel	FBgn0266717	FBgn0037808,FBgn0041108	CG6303	
CG4815	Dmel	FBgn0039568		CG4815	
CG12448	Dmel	FBgn0028857		CG12448	
Dpse\GA30019	Dpse	FBgn0261035	FBgn0248933,FBgn0080675,FBgn0248934	GA30019	GA27568,GA20681,GA27569
Dpse\GA30020	Dpse	FBgn0261036	FBgn0071246,FBgn0247572,FBgn0077221	GA30020	GA11191,GA26197,GA17207
Dpse\GA30007	Dpse	FBgn0261023	FBgn0077044,FBgn0071693	GA30007	GA11643,GA17030
Dpse\GA30006	Dpse	FBgn0261022		GA30006	
Dpse\GA30022	Dpse	FBgn0261038		GA30022	
CG30283	Dmel	FBgn0260477	FBgn0034635,FBgn0050283	CG30283	CG10450
natalisin	Dmel	FBgn0085417	FBgn0038229,FBgn0038230	CG34388	CG14843,CG14842
Sp212	Dmel	FBgn0053329		CG33329	
MTPAP	Dmel	FBgn0024360	FBgn0024981	CG11418	
CG33189	Dmel	FBgn0053189		CG33189	
AlaRS	Dmel	FBgn0027094		CG13391	
Dpse\GA12951	Dpse	FBgn0072989		GA12951	
Dpse\GA16118	Dpse	FBgn0076134		GA16118	
AlaRS-m	Dmel	FBgn0028962		CG4633	
Epg5	Dmel	FBgn0038651		CG14299	
DCAF12	Dmel	FBgn0037980		CG3313	
GstT3	Dmel	FBgn0031117		CG1702	
CG33177	Dmel	FBgn0053177	FBgn0030609	CG33177	CG5579
FRG1	Dmel	FBgn0036964		CG6480	
CG42577	Dmel	FBgn0260867		CG42577	
Peritrophin-A	Dmel	FBgn0022770		CG17058	CG31559
stac	Dmel	FBgn0266719	FBgn0085378,FBgn0082893,FBgn0039268,FBgn0054037,FBgn0042629	CG34349	CG34037,CG11819
CG17068	Dmel	FBgn0031098		CG17068	
CAH8	Dmel	FBgn0038956		CG5379	
CAH9	Dmel	FBgn0039486		CG6074	
CARPA	Dmel	FBgn0029962		CG1402	
CARPB	Dmel	FBgn0052698	FBgn0030152,FBgn0030153	CG32698	CG9683,CG9678
CAH13	Dmel	FBgn0033542		CG12309	
CAH14	Dmel	FBgn0034554		CG15227	
capt	Dmel	FBgn0261458	FBgn0028388,FBgn0010632,FBgn0022262,FBgn0027062,FBgn0031311,FBgn0053979,FBgn0086304	CG33979	CG5061,CG5074
CAH15	Dmel	FBgn0034560		CG9235	
CAH16	Dmel	FBgn0040628		CG18672	
Ald1	Dmel	FBgn0000064	FBgn0064914	CG6058	
Ald2	Dmel	FBgn0039425		CG5432	
Dera	Dmel	FBgn0033735		CG8525	
Argl	Dmel	FBgn0032076	FBgn0043835,FBgn0053085	CG9510	CG33085
Ndf	Dmel	FBgn0043456	FBgn0026572,FBgn0032174,FBgn0041705	CG4747	
Son	Dmel	FBgn0037716		CG8273	
EbpII	Dmel	FBgn0011694		CG2665	
EbpIII	Dmel	FBgn0011695	FBgn0034960,FBgn0062902	CG11390	
Dana\GF26509	Dana	FBgn0273732		GF26509	
CG7573	Dmel	FBgn0036153		CG7573	
rig	Dmel	FBgn0250850	FBgn0050149,FBgn0010589,FBgn0034531,FBgn0034533,FBgn0066866	CG30149	CG13440,CG11171
CG43131	Dmel	FBgn0262605		CG43131	
CG17575	Dmel	FBgn0250842	FBgn0033776,FBgn0066885	CG17575	
Dpse\GA30933	Dpse	FBgn0271340		GA30933	
Nsun5	Dmel	FBgn0259704	FBgn0038684,FBgn0036884	CG42358	CG5558
Dpse\GA30934	Dpse	FBgn0271341		GA30934	
ArgRS	Dmel	FBgn0027093	FBgn0030698	CG9020	
Dsim\GD23720	Dsim	FBgn0250852	FBgn0045635,FBgn0045692,FBgn0045679,FBgn0045673,FBgn0045664	GD23720	CG17097
Dsim\GD10474	Dsim	FBgn0250853	FBgn0182245,FBgn0045689	GD10474	
Dsim\GD21079	Dsim	FBgn0250854	FBgn0192533,FBgn0045688	GD21079	
Dsim\GD18468	Dsim	FBgn0250855	FBgn0189991,FBgn0045670	GD18468	
Dsim\GD12299	Dsim	FBgn0250856	FBgn0083451,FBgn0045661	GD12299	CG32203
Dsim\cav	Dsim	FBgn0250857	FBgn0068593,FBgn0020471	GD21077	cav
Dana\GF26510	Dana	FBgn0273733		GF26510	
ArgRS-m	Dmel	FBgn0037526		CG10092	
CG43112	Dmel	FBgn0262572		CG43112	
CR15345	Dmel	FBgn0040928	FBgn0064877	CR15345	CG15345
CG31473	Dmel	FBgn0051473	FBgn0037522	CG31473	CG2649
Dana\GF26511	Dana	FBgn0273734		GF26511	
lawc	Dmel	FBgn0262976	FBgn0001460,FBgn0005688,FBgn0052711,FBgn0063662	CG32711	
Dsim\mir-927	Dsim	FBgn0264020		GD26721	
mRpL3	Dmel	FBgn0030686		CG8288	
Dsim\mir-960	Dsim	FBgn0264016		GD26717	
Lcp4	Dmel	FBgn0002535		CG2044	
Dana\GF26512	Dana	FBgn0273735		GF26512	
Dana\GF26513	Dana	FBgn0273736		GF26513	
Dpse\GA11194	Dpse	FBgn0071249		GA11194	
CG34148	Dmel	FBgn0083984		CG34148	
Dpse\GA29083	Dpse	FBgn0250441		GA29083	
CR43213	Dmel	FBgn0262849		CR43213	
Acp29AB	Dmel	FBgn0015583		CG17797	
Dsim\mir-965	Dsim	FBgn0264012		GD26713	
CG7745	Dmel	FBgn0033616		CG7745	
Dpse\snoRNA:GA29934	Dpse	FBgn0254991		GA29934	
Dpse\snoRNA:GA29935	Dpse	FBgn0254992		GA29935	
Dpse\snoRNA:GA29936	Dpse	FBgn0254993		GA29936	
CG14855	Dmel	FBgn0038260		CG14855	
CG14856	Dmel	FBgn0038261		CG14856	
Dana\GF11695	Dana	FBgn0088735		GF11695	
rdog	Dmel	FBgn0039644		CG11897	
CG31248	Dmel	FBgn0051248	FBgn0037474	CG31248	CG2640
CG42819	Dmel	FBgn0262001	FBgn0032037	CG42819	CG13394
CG2124	Dmel	FBgn0030217		CG2124	
CG14317	Dmel	FBgn0038566	FBgn0046341	CG14317	
Crtp	Dmel	FBgn0029501	FBgn0035013	CG13580	
AsnRS	Dmel	FBgn0086443	FBgn0027092,FBgn0002029,FBgn0028492	CG10687	
CG16964	Dmel	FBgn0032385	FBgn0064974	CG16964	
CG34178	Dmel	FBgn0085207		CG34178	CG12677
dsh	Dmel	FBgn0000499	FBgn0027244,FBgn0042225	CG18361	CG1720
CG13581	Dmel	FBgn0035014	FBgn0063767	CG13581	
Uhg1	Dmel	FBgn0045800	FBgn0040741,FBgn0052886	CR32886	CG14486
Dana\GF26514	Dana	FBgn0273737		GF26514	
Dpse\GA10925	Dpse	FBgn0070981		GA10925	
arg	Dmel	FBgn0023535	FBgn0024982,FBgn0029528	CG18104	
CG15385	Dmel	FBgn0031397		CG15385	
CG9498	Dmel	FBgn0031801		CG9498	
CG13312	Dmel	FBgn0035931		CG13312	
CG13392	Dmel	FBgn0032033		CG13392	
CG43246	Dmel	FBgn0262891		CG43246	
Dana\GF26515	Dana	FBgn0273738		GF26515	
Dana\GF26516	Dana	FBgn0273739		GF26516	
CG32198	Dmel	FBgn0052198		CG32198	
CG16965	Dmel	FBgn0032387		CG16965	
Peritrophin-15a	Dmel	FBgn0040959		CG17814	
Atg14	Dmel	FBgn0039636		CG11877	
kmg	Dmel	FBgn0032473	FBgn0062169	CG5204	
Atg16	Dmel	FBgn0039705	FBgn0039706,FBgn0040624,FBgn0051033	CG31033	CG18683,CG15513,CG18040
dgt2	Dmel	FBgn0032390		CG16969	
Dana\GF26517	Dana	FBgn0273740		GF26517	
CG30268	Dmel	FBgn0050268	FBgn0034771	CG30268	CG13520
Ir76a	Dmel	FBgn0260874	FBgn0036907,FBgn0085286	CG42584	CG8533,CG34257
Ssl	Dmel	FBgn0015300	FBgn0014036,FBgn0045134	CG13591	
CG5110	Dmel	FBgn0032642	FBgn0047173	CG5110	
CG4563	Dmel	FBgn0035006		CG4563	
Ir48c	Dmel	FBgn0033651		CG12444	
GluRIA	Dmel	FBgn0004619		CG8442	
GluRIB	Dmel	FBgn0264000	FBgn0028431,FBgn0035972,FBgn0260235	CG43743	CG4481,CG42509
Lcp3	Dmel	FBgn0002534		CG2043	
Dpse\snoRNA:GA29937	Dpse	FBgn0254994		GA29937	
Dpse\snoRNA:GA29938	Dpse	FBgn0254995		GA29938	
Qtzl	Dmel	FBgn0051864	FBgn0032392	CG31864	CG17749
Dana\GF26518	Dana	FBgn0273741		GF26518	
AsnRS-m	Dmel	FBgn0034177		CG6796	
Dpse\GA12843	Dpse	FBgn0072888		GA12843	
Dana\GF11840	Dana	FBgn0088880		GF11840	
Prosalpha4T2	Dmel	FBgn0017556		CG4569	
mamo	Dmel	FBgn0267033	FBgn0030532,FBgn0052611,FBgn0030535,FBgn0030533,FBgn0030534,FBgn0085375,FBgn0052606,FBgn0263115,FBgn0264981,FBgn0265867	CG45477	CG44132,CG11072,CG32611,CG34346,CG32606,CG11071,CR44656,CG11075,CG11082
exd	Dmel	FBgn0000611	FBgn0010248,FBgn0025242	CG8933	
Dpse\snoRNA:GA29952	Dpse	FBgn0255009		GA29952	
Dpse\snoRNA:GA29953	Dpse	FBgn0255010		GA29953	
Ilp5	Dmel	FBgn0044048	FBgn0053273	CG33273	
Sfp33A1	Dmel	FBgn0259962		CG42472	
CG13116	Dmel	FBgn0032139		CG13116	
Dpse\GA28051	Dpse	FBgn0249414		GA28051	
CG31798	Dmel	FBgn0051798	FBgn0044689	CG31798	
Ser	Dmel	FBgn0004197	FBgn0003111,FBgn0003355	CG6127	
Dpse\snoRNA:GA29939	Dpse	FBgn0254996		GA29939	
Dpse\snoRNA:GA29940	Dpse	FBgn0254997		GA29940	
Dpse\snoRNA:GA29941	Dpse	FBgn0254998		GA29941	
CycY	Dmel	FBgn0032378	FBgn0062199	CG14939	
Cyp4e3	Dmel	FBgn0015035		CG4105	
CG31855	Dmel	FBgn0051855	FBgn0032510	CG31855	CG6537
CG14857	Dmel	FBgn0038262		CG14857	
zuc	Dmel	FBgn0261266	FBgn0004056,FBgn0032389	CG12314	
CG7889	Dmel	FBgn0031003		CG7889	
CG13070	Dmel	FBgn0036586		CG13070	
CG6686	Dmel	FBgn0032388		CG6686	
CG42471	Dmel	FBgn0259961		CG42471	
CG31493	Dmel	FBgn0051493	FBgn0037474	CG31493	CG2640
Dpse\GA30034	Dpse	FBgn0265232	FBgn0261490,FBgn0081418	GA30034	GA21431
Dana\GF11757	Dana	FBgn0088797		GF11757	
Dpse\snoRNA:GA29942	Dpse	FBgn0254999		GA29942	
Dpse\snoRNA:GA29943	Dpse	FBgn0255000		GA29943	
Dpse\snoRNA:GA29944	Dpse	FBgn0255001		GA29944	
Dpse\snoRNA:GA29945	Dpse	FBgn0255002		GA29945	
Dpse\snoRNA:GA29946	Dpse	FBgn0255003		GA29946	
Dpse\snoRNA:GA29947	Dpse	FBgn0255004		GA29947	
Dpse\snoRNA:GA29948	Dpse	FBgn0255005		GA29948	
Dpse\snoRNA:GA29949	Dpse	FBgn0255006		GA29949	
Dpse\GA26731	Dpse	FBgn0265233	FBgn0248104,FBgn0078725	GA26731	GA18725
Dana\GF11758	Dana	FBgn0088798		GF11758	
Dpse\snoRNA:GA29950	Dpse	FBgn0255007		GA29950	
Dpse\snoRNA:GA29951	Dpse	FBgn0255008		GA29951	
CG43935	Dmel	FBgn0264563		CG43935	
Dpse\snoRNA:GA29954	Dpse	FBgn0255011		GA29954	
Dpse\snoRNA:GA29955	Dpse	FBgn0255012		GA29955	
Dpse\snoRNA:GA29956	Dpse	FBgn0255013		GA29956	
Dpse\snoRNA:GA29957	Dpse	FBgn0255014		GA29957	
Dpse\snoRNA:GA29958	Dpse	FBgn0255015		GA29958	
Dpse\GA24439	Dpse	FBgn0265235	FBgn0245836,FBgn0079679	GA24439	GA19683
CG4306	Dmel	FBgn0036787		CG4306	
Dpse\GA24823	Dpse	FBgn0265236	FBgn0246208,FBgn0074186,FBgn0069580	GA24823	GA14157,CG16799
Dpse\snoRNA:GA29959	Dpse	FBgn0255016		GA29959	
Dpse\snoRNA:GA29960	Dpse	FBgn0255017		GA29960	
CG32196	Dmel	FBgn0052196		CG32196	
Dpse\snoRNA:GA29961	Dpse	FBgn0255018		GA29961	
Dpse\snoRNA:GA29962	Dpse	FBgn0255019		GA29962	
Dpse\GA28757	Dpse	FBgn0265237	FBgn0250117,FBgn0074553	GA28757	GA14525
CG43318	Dmel	FBgn0263023	FBgn0038368	CG43318	CG14876
Dpse\snoRNA:GA29963	Dpse	FBgn0255020		GA29963	
Dpse\snoRNA:GA29964	Dpse	FBgn0255021		GA29964	
CG34274	Dmel	FBgn0085303		CG34274	
Dpse\snoRNA:GA29965	Dpse	FBgn0255022		GA29965	
Dpse\snoRNA:GA29966	Dpse	FBgn0255023		GA29966	
Dpse\snoRNA:GA29967	Dpse	FBgn0255024		GA29967	
CG44426	Dmel	FBgn0265608		CG44426	
Dpse\snoRNA:GA29968	Dpse	FBgn0255025		GA29968	
Dpse\snoRNA:GA29969	Dpse	FBgn0255026		GA29969	
Dpse\GA30044	Dpse	FBgn0265238	FBgn0261500,FBgn0074555	GA30044	GA14527
Dpse\GA29082	Dpse	FBgn0265239	FBgn0250440,FBgn0074557	GA29082	GA14529,CG17494
CG9338	Dmel	FBgn0032899	FBgn0063264	CG9338	
Dpse\GA29081	Dpse	FBgn0265240	FBgn0250439,FBgn0074577	GA29081	GA14549,CG17540
Dpse\GA28748	Dpse	FBgn0265241	FBgn0250108,FBgn0074634	GA28748	GA14607
Dpse\GA28752	Dpse	FBgn0265242	FBgn0250112,FBgn0077848	GA28752	GA17839
Dpse\GA30009	Dpse	FBgn0265243	FBgn0261025,FBgn0250114,FBgn0071674	GA30009	GA11624
Dpse\snoRNA:GA29971	Dpse	FBgn0255028		GA29971	
Dpse\snoRNA:GA29970	Dpse	FBgn0255027		GA29970	
Dpse\snRNA:U1:3	Dpse	FBgn0255032		GA29975	
Dpse\snRNA:U1:4	Dpse	FBgn0255033		GA29976	
Dpse\GA30010	Dpse	FBgn0265244	FBgn0261026,FBgn0250114,FBgn0071747	GA30010	GA11697
Dpse\snoRNA:GA29972	Dpse	FBgn0255029		GA29972	
Dpse\snRNA:U1:1	Dpse	FBgn0255030		GA29973	
Dpse\snRNA:U1:2	Dpse	FBgn0255031		GA29974	
Dpse\GA28759	Dpse	FBgn0265245	FBgn0250118,FBgn0072335	GA28759	GA12289
Trs33	Dmel	FBgn0266722	FBgn0044804,FBgn0038323,FBgn0047020	CG6196	
Trs31	Dmel	FBgn0266723	FBgn0044805,FBgn0033962	CG10153	
CG44314	Dmel	FBgn0265373		CG44314	
Dpse\snRNA:U1:5	Dpse	FBgn0255034		GA29977	
Dpse\snRNA:U1:6	Dpse	FBgn0255035		GA29978	
Dpse\snRNA:U1:7	Dpse	FBgn0255036		GA29979	
Dpse\GA29080	Dpse	FBgn0265246	FBgn0250438,FBgn0074638	GA29080	GA14611
CadN2	Dmel	FBgn0262018	FBgn0032655,FBgn0262011	CG42829	CG7527
CG3795	Dmel	FBgn0025378	FBgn0063223	CG3795	
rec	Dmel	FBgn0003227	FBgn0038367,FBgn0040563,FBgn0051293	CG31293	CG4828,CG14875
CG1738	Dmel	FBgn0030291	FBgn0063062	CG1738	
Dpse\GA29086	Dpse	FBgn0265247	FBgn0250444,FBgn0077853	GA29086	GA17844
fws	Dmel	FBgn0024689	FBgn0027736,FBgn0027744,FBgn0032641	CG6549	
Ilk	Dmel	FBgn0028427	FBgn0013568,FBgn0037062	CG10504	
CG3347	Dmel	FBgn0031513		CG3347	
kon	Dmel	FBgn0032683		CG10275	
Dpse\GA30935	Dpse	FBgn0271342		GA30935	
Dpse\TpnT	Dpse	FBgn0265248	FBgn0250205,FBgn0080103	GA28846	GA20107,TpnT
Dpse\GA19692	Dpse	FBgn0079688		GA19692	
Dpse\GA24822	Dpse	FBgn0265249	FBgn0246207,FBgn0069578,FBgn0081473	GA24822	GA21487,CG9025
CG11666	Dmel	FBgn0040648		CG11666	
CG1304	Dmel	FBgn0031141		CG1304	
MED10	Dmel	FBgn0036581	FBgn0045445,FBgn0062851	CG5057	
CG11752	Dmel	FBgn0030292	FBgn0027728,FBgn0047013	CG11752	
Dpse\GA17412	Dpse	FBgn0077425		GA17412	
Dpse\GA12581	Dpse	FBgn0072627		GA12581	
CG1737	Dmel	FBgn0030293		CG1737	
CG10283	Dmel	FBgn0032681		CG10283	
CG13066	Dmel	FBgn0040797		CG13066	
Ser6	Dmel	FBgn0011834		CG2071	
CG13065	Dmel	FBgn0036590	FBgn0047003	CG13065	
CG15449	Dmel	FBgn0031146		CG15449	
Eato	Dmel	FBgn0028539	FBgn0027851,FBgn0032532,FBgn0051731	CG31731	CG7491,CG7559
Dana\GF11696	Dana	FBgn0088736		GF11696	
Dpse\GA11533	Dpse	FBgn0071584		GA11533	
Dpse\GA30072	Dpse	FBgn0262019	FBgn0077841,FBgn0261893,FBgn0071877	GA30072	GA17832
Dpse\Or69aB	Dpse	FBgn0086702	FBgn0076709,FBgn0074740	GA23540	Or69aB
CG15357	Dmel	FBgn0040719		CG15357	
l(3)72Dp	Dmel	FBgn0263607	FBgn0005548,FBgn0052155,FBgn0036582	CG32155	CG5082
l(3)72Dr	Dmel	FBgn0263608	FBgn0260650,FBgn0052154,FBgn0036582	CG32154	CG5082
Cdc42	Dmel	FBgn0010341	FBgn0012059	CG12530	
Dpse\Or56N	Dpse	FBgn0265250	FBgn0264767,FBgn0083533	GA30473	Or56N
Dpse\Or22a2	Dpse	FBgn0265251	FBgn0078057,FBgn0083537	GA18049	Or22a2
Him	Dmel	FBgn0030900		CG15064	
CG12645	Dmel	FBgn0030181		CG12645	
CG13064	Dmel	FBgn0040796		CG13064	
CG4576	Dmel	FBgn0038366		CG4576	
Dpse\GA15194	Dpse	FBgn0075219		GA15194	
Pbp45	Dmel	FBgn0038371	FBgn0022383	CG9597	
CG31675	Dmel	FBgn0051675	FBgn0063687	CG31675	
Arc1	Dmel	FBgn0033926	FBgn0045908,FBgn0045910,FBgn0045912,FBgn0045913,FBgn0045923	CG12505	
CG42446	Dmel	FBgn0259917		CG42446	
CG2113	Dmel	FBgn0035384	FBgn0063320	CG2113	
CG31870	Dmel	FBgn0051870	FBgn0045159,FBgn0045240,FBgn0062511	CG31870	
Snap24	Dmel	FBgn0266720	FBgn0028401,FBgn0037745,FBgn0044818	CG9474	
gammaSnap2	Dmel	FBgn0266721	FBgn0043017,FBgn0037789	CG6208	
Cralbp	Dmel	FBgn0035636		CG10546	
CG16956	Dmel	FBgn0032523		CG16956	
CG9265	Dmel	FBgn0032910		CG9265	
rpr	Dmel	FBgn0011706	FBgn0045867	CG4319	
CG15309	Dmel	FBgn0030183	FBgn0046798	CG15309	
CG14401	Dmel	FBgn0032900		CG14401	
CG15756	Dmel	FBgn0030493		CG15756	
CG5550	Dmel	FBgn0034160		CG5550	
Hsp67Ba	Dmel	FBgn0001227	FBgn0026837	CG4167	
Ripalpha	Dmel	FBgn0032189		CG18145	
CG31418	Dmel	FBgn0051418	FBgn0038496	CG31418	CG5329
CG43851	Dmel	FBgn0264433		CG43851	
CG2663	Dmel	FBgn0037323		CG2663	
E2f2	Dmel	FBgn0024371		CG1071	
Dpse\GA21253	Dpse	FBgn0081241		GA21253	
CG13046	Dmel	FBgn0036595		CG13046	
CG13332	Dmel	FBgn0033851		CG13332	
Prosbeta4R1	Dmel	FBgn0031442	FBgn0061441	CG17301	
His3.3A	Dmel	FBgn0014857		CG5825	
Dpse\snRNA:U11:1	Dpse	FBgn0255037		GA29980	
Dpse\snRNA:U12:1	Dpse	FBgn0255038		GA29981	
CG32576	Dmel	FBgn0052576	FBgn0043544,FBgn0045434,FBgn0047127	CG32576	
CG8617	Dmel	FBgn0033925		CG8617	
CG43155	Dmel	FBgn0262685	FBgn0030302,FBgn0030303,FBgn0043906,FBgn0043915,FBgn0043916	CG43155	CG1756,CG15194
CG7903	Dmel	FBgn0039730		CG7903	
CG13390	Dmel	FBgn0032031		CG13390	
CG12818	Dmel	FBgn0037809		CG12818	
Cpr12A	Dmel	FBgn0030494	FBgn0063080	CG15757	
Or23a	Dmel	FBgn0026395		CG9880	
Rrp45	Dmel	FBgn0030789		CG9606	
Dpse\GA12266	Dpse	FBgn0072312		GA12266	
CG17707	Dmel	FBgn0025835		CG17707	
prod	Dmel	FBgn0014269	FBgn0034409	CG18608	
rictor	Dmel	FBgn0031006		CG8002	
CG44428	Dmel	FBgn0265610		CG44428	
CG7271	Dmel	FBgn0036791		CG7271	
CG13048	Dmel	FBgn0036593		CG13048	
CG13047	Dmel	FBgn0036594		CG13047	
Gr33a	Dmel	FBgn0032416		CG17213	
ClC-a	Dmel	FBgn0051116	FBgn0037951,FBgn0037952	CG31116	CG6942,CG14726
Dpse\GA13401	Dpse	FBgn0073438		GA13401	
TM9SF4	Dmel	FBgn0028541	FBgn0027852,FBgn0040975	CG7364	CG16861
CG9626	Dmel	FBgn0037565		CG9626	
Muc68E	Dmel	FBgn0053265		CG33265	
Cad87A	Dmel	FBgn0037963		CG6977	
Dpse\GA30449	Dpse	FBgn0264586	FBgn0072365,FBgn0246387,FBgn0246388	GA30449	GA25004,GA12319,GA25005
CG32832	Dmel	FBgn0052832	FBgn0045218,FBgn0045341	CG32832	
CG10681	Dmel	FBgn0036291		CG10681	
CG13905	Dmel	FBgn0035176		CG13905	
Wnt5	Dmel	FBgn0010194	FBgn0004361,FBgn0066822	CG6407	
Dpse\GA30936	Dpse	FBgn0271343		GA30936	
CG10405	Dmel	FBgn0038431		CG10405	
CG4174	Dmel	FBgn0036793		CG4174	
CG18063	Dmel	FBgn0028856	FBgn0032579	CG18063	
Su(Ste):CR42411	Dmel	FBgn0259842		CR42411	
